f0;f1;f2;f3;f4;f5;f6;f7;f8;f9;label
0.607197538101851;-0.378531536891439;0.6479513724507354;-0.41522164810469003;-0.3407470939188769;-0.6620199494826718;1.054259827427831;0.3121424473561126;2.5164369153714685;0.8469467508553772;1
-1.4834137084873917;0.8025632479008408;-1.0888036841960937;-0.27617076668465573;0.141135073310704;-1.0903810701019179;-0.5054087078899074;-0.6738417274729147;0.14091388037417163;-0.07351671562569011;0
-0.10417802988263843;1.7063213243369049;0.5424521158878862;0.4329860903627555;1.097299054781602;1.8622811616029218;1.3982452708252306;-1.0550459975049262;0.528129532182301;0.7738372190883718;0
0.9636933961213732;-0.1411011266366293;0.07199166872521738;-0.8861479035047187;-0.3685474725751162;-1.1664094737795516;1.2740064530975634;-0.5194709410727515;-0.9326830231032831;0.29533763342676633;1
0.10678128737554075;-0.6862569008373571;0.37664238732476;-0.6261906658513405;0.5099687328907554;-0.02700581038460855;0.21739984503219362;-0.3810585382489008;-0.6694474312064037;0.2550680734989403;1
-1.5711667869189898;1.384740099119372;-0.4556908969136663;2.0766775642877593;0.671797021075242;-0.09297751691161404;-0.6028945815555102;0.5192105717488484;0.46277507692170955;0.43113261764955124;0
0.8396090227586288;0.12075815010648003;1.145038437907148;-0.7671528189303864;-0.20343838848400828;0.6195155255802256;-0.780031091976544;0.04339888367096512;1.5349925170224734;0.10570439160255012;1
-0.46951929495535444;1.1293766978437971;-1.1359763114796235;-0.33158194119571;1.0658535129306093;-0.7700591950790759;0.2577850924311055;-0.0698457477238752;1.567361857418077;-1.4218859205435128;0
-0.5414602656522841;-0.3249481635961135;0.3737719148067307;0.5519408255530851;0.42343310643330717;1.419138514050265;0.6719740243022455;-1.2809004408809674;-1.4450772860668792;-0.5374815442954671;0
-0.5256240257921971;-0.43677375060337237;1.048702408202802;-0.6312126741691892;1.1090986359776396;1.1486974898743283;0.031176661906884364;-0.5212129178074569;1.288071003656983;-0.8457045949382983;0
0.4789268079432277;0.2725573204870592;1.2974969495878943;0.35885497175971715;0.021150742032654803;1.055169838369879;-0.380089972109003;0.5624021171572643;0.13273724755111255;0.03486168071259834;1
-1.4824354022807713;-0.004171815615342664;-1.010840939789875;0.5300001014792087;2.3697516518020088;-0.22607606380716505;0.9164147568112588;1.00870225337923;-1.151974482849848;0.7081195970686851;0
-0.3151938012409842;-0.43983608931816015;0.820453573842574;-0.5559180623876544;-0.5085630109098325;0.7580033195494729;1.2898341448679984;0.06653050683970729;0.6672692007972113;-1.41847651241114;0
-0.10151807138455109;0.4469237221098548;-0.8430501398490934;0.6445439518773701;0.28212910047100415;0.2858833905891918;1.185017754293034;1.2655064487383478;-1.2153466392847267;-0.6552506374593475;0
0.5383467692384967;-0.30107630805670316;1.9901391106322228;1.1058590992399453;-0.8206589408551266;-0.7560202096038663;-1.2654440853552495;0.37140889227276375;-0.6052727910891746;-0.6758592861022096;1
-1.2653410882988532;0.8897148119970517;-0.7469561739715275;-0.905830245760958;-1.886475210788988;0.4047553694405423;0.23043542036620523;0.7312358941629121;1.4355083232727985;0.20713375767440378;0
-0.34434811242514946;-1.6037823308549553;0.10765611478628605;0.35253229335396485;0.25702392343992153;-1.9473343190393224;1.2354574916025496;0.6211648700272079;-0.38989163139276983;-0.2841491410620493;1
-1.9202481241946172;0.3231218010481889;-0.34349389678150366;-1.1304130983967469;1.974232377180086;1.5448740435904276;0.7238759070559383;-0.02110657370657157;-1.2412753647340078;-0.019198865269160332;0
0.46986388122599015;-0.10832037710381609;-0.03526426474401592;0.18669651455674446;-1.1436364997029824;0.8206507067258567;1.0070949475046054;-0.4301830518281966;-0.6943542642478197;2.1208310224669535;1
1.1412556248351933;-2.3199520109902276;-0.10212771418096107;-1.0199848535223262;-0.9117659779798447;-0.6898592405024225;0.04291468099847176;-0.13190171258855415;-1.2948063811535262;-1.0862697314845238;1
-2.060181566014477;-0.09036444106772928;0.26839828651095043;0.861137885963383;0.9811378317472554;0.09847901155065533;-0.40385799071442297;2.1402327193891235;-0.9266030364543661;-1.356798720287458;0
-0.46167113887090205;0.19456183364779014;1.350053117663414;-0.47298472358907045;-1.6206236844826747;0.7332177803273593;-0.4517323517031473;-1.0690223297746488;-0.9127473779520334;0.13095340292340502;0
-1.7676436507262105;1.4744680405993944;-0.16959546551771515;0.04405962035919022;1.0464228956474093;-0.7506640625414507;0.0585803456805668;-0.08871758293689884;0.47698918267848217;2.442351512956595;0
-1.1017592933715903;-0.07236749992454078;2.1126856844678112;-0.9033886819160328;1.6119085064156429;0.07725691159483966;1.0282176418350832;0.5597047795343086;0.31701041473769603;-0.8924376729648258;0
-0.14918916095477025;0.6837552286904686;-0.38634980432095084;-1.0866663467080582;-0.9823412294630043;1.413398937920676;1.5955825955438594;-0.7194187818493606;-0.0221924776536988;1.2412448142865442;0
0.2922366095938927;0.0660058646169402;0.6171086076877786;-1.1087758030262194;-0.6849214547382378;0.7650294357245845;0.20128902733725393;0.46228116872644603;0.0914747607264241;-1.2907781479490994;0
0.4238476368216276;1.2987734361633363;0.516596132736983;0.7332479172284545;-0.9379262480262793;-0.24933977404008587;-0.453826275315285;-0.5050371587864727;-0.6189478848635087;0.5931559241100901;0
0.553531258741302;0.8461155719684416;1.8034384617586279;0.17577272999221608;0.46927003678740353;0.18175314788049945;-1.6122818589151047;-1.0580105661610741;0.4707056805773103;-0.437141464675605;0
-0.04911903933134915;-1.4225701443150534;0.28946581448468073;-0.2948756959374504;0.1884105024955541;0.19387747710327205;-1.6234675201544997;1.1037008105397497;-1.2645444083398867;-0.2975785790035834;1
-0.46076819388017914;1.0341354600003758;0.11002511064358497;0.9641250685967201;0.2061449855011161;-0.021637297425890836;-0.8039284152812162;-0.4686290501164739;0.039823887517514305;0.25987811431618657;0
-0.6401952141174423;1.4107394301102836;0.3045172610594067;-1.1063040766640437;1.4902573795519576;-1.6819958103427453;0.3978745954057583;-0.541132268905428;1.5766157426996203;0.8385195924424974;0
-1.1624234720330822;1.008820044498519;-2.014866599817774;0.8383592428327026;-0.04215892553906014;-0.9069400248225659;0.9850627727538989;0.7793011530249265;0.1972033888135102;0.29039297456566826;0
0.4076736652094989;-0.3498880106481805;0.5646336313065202;-1.857847382726279;-3.3783058199614375;0.4676393146474983;0.3921994835190462;-0.6645877244240975;-1.077236848903781;1.3227032825309368;1
-0.5116182885285732;-0.602477043062195;-0.9670376240251601;0.7994547607474799;-2.2103012434060805;-0.18841748994512025;-0.7147330443015798;-0.14374809581162779;0.6686262705936624;-0.4865685059134496;0
-0.27595105006837256;-1.8693516344298902;-0.5481179079620868;-1.0563408734633022;0.2309111164672157;-0.23590552810443383;-0.4410960156619166;0.15613522401563795;-0.9003161812767706;-1.1357147823297709;1
-2.591874928410129;-0.07696814787922203;-0.00848715829661494;-0.06346952337698047;-0.5905217046236114;1.035534544363398;-0.7569939991156549;1.774771445024047;-0.2984006698080406;-0.8344867976584845;0
-0.4079575176165083;-0.08879907801137794;0.36422492705803966;1.8591938074130026;0.12196828466499483;0.6957732376375974;0.902230274990719;0.4224000307283161;1.902679680584606;-0.35032952435190357;0
-0.6405642352059425;-1.23390873278405;-0.2889729771287878;-2.1187627551759;0.6052508281143466;-0.7145331538111578;0.6296747482810737;0.3405207881413492;-1.216822922129052;2.082980964063206;1
-0.7847947212735666;-0.8643216538152726;-0.42819884325254476;0.45900156138376874;-1.0916907712938273;0.7887330188382642;0.12242440519926155;-0.19870929713806423;-1.0624504036661464;0.08647492437627122;1
-0.2852915796882786;-2.044650786356941;0.2932725340864974;-0.9549774061713578;-0.3366837793707064;-0.900054332965019;-0.37373994360567103;-0.4826197048171694;-0.4041037358229277;-0.4795576036610387;1
-0.7038170368802097;0.9813553448545718;0.41533186727317417;0.5026451184657768;1.2790349547846536;-0.5740797723921159;0.39879259054239263;-0.577661120492356;-0.8862967688644503;1.271716427514705;0
-0.8980426854370613;2.4367042707008935;2.339419415896663;-2.1990312750373615;0.8807365714224208;-0.879453019786741;0.5338549927225598;0.15598846300327357;-2.5713039557202544;0.07825626046412644;0
1.2898758036215385;0.2219495164396724;1.8640059158322833;-0.7450062151876581;1.8824148875418243;-0.03334419821331829;-1.3305531435232565;0.5357948219461336;1.7007088312285177;0.177383732670357;1
0.21971648196402116;0.10367688514977508;-2.190293539939402;2.031079517603636;1.9033862872737035;1.498549415748564;0.4311140899882478;0.10192485877776894;-0.3152539979674902;1.5847369280933918;1
0.8267670333025422;-1.1574472408081993;-0.46264067003757026;0.3557780043899124;-0.5482145906788486;0.7054611526121046;2.0207140473929583;2.007027234381187;0.7037056977054853;-0.8866956282659619;1
0.9876791079327726;-1.217832924329929;-0.48253437717641945;-0.6776924374477974;-0.22150115648316573;0.3336981015489049;1.0897315827789928;0.32397225317556144;-1.6351199312347813;0.635186820294512;1
0.8161022301164726;0.8525441171095299;-0.6633188228175585;-0.15879206011572816;-0.4328099584029045;0.8844480662718696;-1.8607540822853883;-0.4644651642266837;1.3608434184154983;-0.4677206726338463;1
1.3676420023223945;0.8259490463803059;-1.892726090744174;-0.8689498021791634;1.9368980230737098;-1.7168595187413649;-0.6096845018498825;0.10494133628210447;0.26274593171208344;1.6485805288379463;1
-0.9849259206912685;0.12715440714917756;0.7644791448383285;-0.3164345384837742;-0.9095356179628994;-0.4679838702178159;-1.222921465772533;-0.018975843275670857;1.083582266564287;-0.5243836559450579;0
0.6659331403452996;-2.0335286972851616;-1.879404818766328;1.242360217324116;-0.18613078356401136;0.4193349647928997;-1.5038294405419628;-0.9705825890509873;1.1677765927166985;-0.0595158477059934;1
0.6271851009227474;0.010502126254843615;1.1600194880921253;-0.5721317579419812;-2.3246750285921083;-0.9782713846679173;0.5362255120998601;0.2481641245507761;-0.2837488869932348;1.1684384710939804;1
-0.6239627042306389;-1.1876120738544895;0.8602170162987389;-0.7138726634563296;0.21955932669292413;-1.4759664982225214;-1.5150413230263151;-0.6786030697214528;2.2108426212728793;0.46076418728538626;0
-0.293395594640803;-0.42491000101477067;0.22392286554619947;0.1286898364445479;0.7124330203201977;2.038136953286192;-0.33442759114913295;2.6547498690616855;-1.9364635256372484;0.2206639941814508;0
-0.7347033388576478;0.5239610336347269;-1.3465811833901866;-0.8339415889265352;0.030028618895724703;-1.379486669349002;3.147821283241987;1.1685909102208334;0.8281845870546302;0.3949577144977871;0
0.508774149764312;-0.14671339489278015;0.2514635706511138;-0.23817349266045224;-1.0584455163394633;-0.1889357035441851;1.4603965935409113;0.3301696099251964;1.643898637997348;1.021744879874816;1
2.294506018606842;0.23353053831582618;0.1778296471857671;-0.4072949404138623;1.2374940854038339;-0.41954600126672625;0.6632556833256636;-1.7063388642650443;-0.4566300076222906;1.457572316750053;1
0.5353385219584254;1.371342345385974;-0.5067242258509396;-0.21308960943986335;-1.6842753263579673;0.0009992657127509451;0.8409709838594811;-0.218468165740855;0.10541406143187686;-0.9476772296827833;0
